x,y,z,yaw,velocity,change_flag
143.5132,-55.5861,0.0354,-3.1374,16.8369,0
142.3228,-55.5910,0.0354,-3.1374,17.4009,0
141.0951,-55.5961,0.0354,-3.1375,17.9128,0
139.8353,-55.6013,0.0364,-3.1375,18.2009,0
138.8100,-55.6055,0.0362,-3.1373,18.4206,0
137.7971,-55.6096,0.0362,-3.1373,18.1398,0
136.7875,-55.6138,0.0362,-3.1370,17.9737,0
135.3031,-55.6206,0.0357,-3.1370,17.4883,0
134.1211,-55.6260,0.0361,-3.1370,16.6116,0
132.9948,-55.6312,0.0363,-3.1370,15.9382,0
131.6832,-55.6372,0.0361,-3.1370,15.6114,0
130.6041,-55.6422,0.0359,-3.1370,15.4806,0
129.5319,-55.6472,0.0359,-3.1370,15.4193,0
128.2469,-55.6532,0.0358,-3.1370,15.4233,0
126.9644,-55.6591,0.0358,-3.1370,15.3126,0
125.7089,-55.6649,0.0360,-3.1370,14.7687,0
124.5162,-55.6704,0.0362,-3.1369,13.8725,0
123.2289,-55.6764,0.0364,-3.1369,12.6534,0
122.2196,-55.6812,0.0364,-3.1369,11.6487,0
120.9894,-55.6869,0.0363,-3.1369,10.6380,0
119.9661,-55.6917,0.0360,-3.1369,10.5069,0
118.9359,-55.6966,0.0357,-3.1369,10.7158,0
117.8730,-55.7016,0.0356,-3.1369,11.1633,0
116.5952,-55.7076,0.0355,-3.1369,11.8083,0
115.5912,-55.7123,0.0355,-3.1369,12.2505,0
114.5565,-55.7171,0.0356,-3.1369,12.5268,0
113.3386,-55.7229,0.0358,-3.1369,12.4267,0
112.3262,-55.7276,0.0360,-3.1369,11.8126,0
111.2360,-55.7327,0.0363,-3.1369,10.6576,0
110.1201,-55.7379,0.0363,-3.1369,9.5237,0
108.9999,-55.7432,0.0362,-3.1369,8.5209,0
107.9605,-55.7481,0.0359,-3.1368,8.3317,0
106.8845,-55.7532,0.0356,-3.1369,8.8595,0
105.7591,-55.7585,0.0357,-3.1369,9.0759,0
104.7383,-55.7634,0.0357,-3.1369,9.3567,0
103.6757,-55.7684,0.0356,-3.1369,9.7358,0
102.5820,-55.7735,0.0357,-3.1369,9.8838,0
101.5000,-55.7786,0.0359,-3.1369,9.5441,0
100.4734,-55.7909,0.0360,-3.1325,8.8789,0
99.3623,-55.8492,0.0364,-3.1063,7.1143,0
98.3535,-55.9776,0.0363,-3.0565,5.3620,0
97.2672,-56.1994,0.0358,-2.9902,5.3835,0
96.2503,-56.4803,0.0355,-2.9249,6.3909,0
95.2503,-56.8407,0.0355,-2.8529,7.4107,0
94.2603,-57.2959,0.0355,-2.7720,8.1594,0
93.3450,-57.8207,0.0357,-2.6878,8.4975,0
92.5035,-58.4207,0.0361,-2.5967,7.7739,0
91.7036,-59.1427,0.0363,-2.4895,6.2923,0
91.0178,-59.9318,0.0360,-2.3781,5.4572,0
90.4527,-60.7587,0.0358,-2.2680,5.5678,0
89.9730,-61.6614,0.0358,-2.1559,5.6068,0
89.5826,-62.6290,0.0357,-2.0461,5.8764,0
89.2866,-63.6003,0.0357,-1.9503,6.2008,0
89.0490,-64.6444,0.0357,-1.8644,6.5729,0
88.8462,-65.7534,0.0357,-1.7998,6.8860,0
88.7199,-66.8165,0.0357,-1.7376,7.0843,0
88.6560,-67.8155,0.0357,-1.6835,7.2987,0
88.5938,-68.8419,0.0357,-1.6561,7.4818,0
88.5336,-69.9983,0.0357,-1.6366,7.7077,0
88.4890,-71.0029,0.0355,-1.6251,8.4491,0
88.4605,-72.1226,0.0354,-1.6082,9.4334,0
88.4490,-73.3622,0.0354,-1.5907,10.3519,0
88.4542,-74.5564,0.0354,-1.5761,11.0729,0
88.4547,-75.8049,0.0356,-1.5730,11.3350,0
88.4519,-77.0811,0.0356,-1.5730,11.6482,0
88.4494,-78.2279,0.0356,-1.5730,11.9195,0
88.4469,-79.3985,0.0357,-1.5730,12.1467,0
88.4446,-80.4186,0.0357,-1.5730,12.3252,0
88.4420,-81.6275,0.0357,-1.5730,12.5317,0
88.4393,-82.8546,0.0357,-1.5730,12.6804,0
88.4366,-84.0845,0.0358,-1.5730,12.5749,0
88.4340,-85.2974,0.0358,-1.5730,12.4121,0
88.4317,-86.3278,0.0358,-1.5730,12.2991,0
88.4295,-87.3323,0.0360,-1.5730,11.7528,0
88.4271,-88.4324,0.0361,-1.5730,10.9710,0
88.4248,-89.4734,0.0361,-1.5730,10.4911,0
88.4226,-90.4737,0.0360,-1.5730,10.1188,0
88.4203,-91.5730,0.0360,-1.5729,9.6633,0
88.4178,-92.7380,0.0360,-1.5729,8.9614,0
88.4155,-93.7836,0.0362,-1.5729,7.7821,0
88.4132,-94.8458,0.0358,-1.5729,7.9159,0
88.4110,-95.8890,0.0355,-1.5729,8.7306,0
88.4089,-96.9001,0.0355,-1.5729,9.4488,0
88.4062,-98.1367,0.0354,-1.5730,10.3150,0
88.4040,-99.1747,0.0354,-1.5730,11.0051,0
88.4016,-100.2792,0.0354,-1.5730,11.6789,0
88.3986,-101.6159,0.0355,-1.5730,12.3312,0
88.3964,-102.6620,0.0355,-1.5730,12.7435,0
88.3940,-103.7391,0.0356,-1.5730,13.0580,0
88.3915,-104.8349,0.0356,-1.5730,13.2202,0
88.3891,-105.9414,0.0357,-1.5730,13.3268,0
88.3862,-107.2265,0.0359,-1.5730,12.9248,0
88.3839,-108.2522,0.0363,-1.5730,11.6810,0
88.3816,-109.3051,0.0366,-1.5730,10.0938,0
88.3794,-110.3279,0.0366,-1.5729,8.3918,0
88.3771,-111.3611,0.0364,-1.5729,6.6122,0
88.3750,-112.4051,0.0361,-1.5730,5.2599,0
88.3725,-113.5501,0.0354,-1.5730,6.7223,0
88.3703,-114.5763,0.0353,-1.5729,7.9733,0
88.3678,-115.7568,0.0354,-1.5730,8.9247,0
88.3657,-116.7608,0.0357,-1.5730,9.0237,0
88.3633,-117.8680,0.0359,-1.5729,8.7012,0
88.3610,-118.9318,0.0360,-1.5730,8.2447,0
88.3670,-119.9878,0.0362,-1.5681,6.9358,0
88.4050,-121.0063,0.0362,-1.5488,5.4359,0
88.4979,-122.0617,0.0359,-1.5117,4.9099,0
88.6489,-123.0691,0.0358,-1.4633,4.8736,0
88.8725,-124.0649,0.0358,-1.4018,4.8980,0
89.1777,-125.0702,0.0357,-1.3330,5.2294,0
89.5749,-126.0989,0.0356,-1.2584,6.1191,0
90.0492,-127.0740,0.0356,-1.1793,6.7656,0
90.6000,-127.9897,0.0357,-1.0951,7.0960,0
91.2511,-128.8711,0.0358,-1.0038,7.0512,0
91.9514,-129.6573,0.0359,-0.9150,6.6782,0
92.6817,-130.3422,0.0359,-0.8289,6.3623,0
93.5056,-130.9824,0.0359,-0.7368,6.1141,0
94.3698,-131.5344,0.0358,-0.6459,6.1882,0
95.3078,-132.0219,0.0358,-0.5540,6.4078,0
96.3178,-132.4330,0.0358,-0.4594,6.5873,0
97.2947,-132.7307,0.0358,-0.3712,6.6975,0
98.3089,-132.9506,0.0358,-0.2854,6.8067,0
99.3520,-133.0994,0.0358,-0.2063,6.9199,0
100.4185,-133.1958,0.0358,-0.1422,7.0547,0
101.6065,-133.2474,0.0358,-0.0833,7.1872,0
102.6130,-133.2514,0.0358,-0.0411,7.2917,0
103.7398,-133.2300,0.0357,-0.0073,7.4558,0
